,app,google_score,reviews,user_grade
43,Jellify - Effets photo drôles,"3,9","Moi j'aurais mi 0 étoile ,ses extra nul on prend une photo et en plus quand on bouge limage sa se remet comme il faut,ses un des jeu les plus nul dans le monde entier je lai même désinstaller.je vous le déconseille vous aller jouer deux minutes et après vous aller le désinstaller.",1
44,Jellify - Effets photo drôles,"3,9","Wraiment super réaliste . I serait bien d'avoir des mouvements plus lents ... Bref, je conseille cette géniale application à tous",5
45,Jellify - Effets photo drôles,"3,9",c bien en plus il y a deja un exemple mais c enbetant les pub en desous et ce n ai pas en francais.,4
46,Jellify - Effets photo drôles,"3,9",C'est excellent mais par contre c'est hyper bien parce que on peut faire ce qu'on veut avec,5
47,Jellify - Effets photo drôles,"3,9","j'aime bien cette application c'est tellement drôle mais je met un 4 parce que on doit faire seulement une photo pour un inconu mais vous vous allez vous dire \""mais on s'en fou\"" mais moi je mais comme même un 4 ×)",4
48,Jellify - Effets photo drôles,"3,9","J'adore Jellify, et ca t'amuse beaucoup ! Et sa ne bogue pas !",5
49,Jellify - Effets photo drôles,"3,9",ce jeu est génial mais quand tu prends une photo tu es obligé de de prendre une personne pour que ça fasse effet,5
50,Jellify - Effets photo drôles,"3,9",je trouve que ce jeu est cool mais si il y a quelqu'un avec une grosse tête je pense que ça pas va fonctionner 😂😂😂😂. bien sûr je rigole parce que c'est pas bien de de se moquer,5
51,Jellify - Effets photo drôles,"3,9",Bien Indéale Trop Extraordinaire reegarde les premiere lettre et tu va. Voir et se truc et genial¡!!!!!¡¡¡!!!!!¡¡¡!!,5
52,Jellify - Effets photo drôles,"3,9",Pas trop terrible j'ai vu essayer et supprimer rapidement l'application. Pas d'effet 3d a part sur la photo de test,2
53,Jellify - Effets photo drôles,"3,9","Nul nul nul c est juste tu touche avec ton doigt dans l écran et sa bouge, je suis contente d appuier sur désinstaller",2
54,Jellify - Effets photo drôles,"3,9",Trop bien quand je me suis modifiée mon visage était trop déformé !🤣🤣,5
55,Jellify - Effets photo drôles,"3,9",C'est un bon jeu pour les gens qui sont très blageur !!!,5
56,Jellify - Effets photo drôles,"3,9","Jeux très bien ,mais j'ai desinstaller et je veux le re installer mais il dise que je dois désinstaller des jeux alors que quand j'ai désinstaller j'ai télécharger aucun jeux après quelqu'un peux m'aider.",5
57,Jellify - Effets photo drôles,"3,9",moi ke trouve que se jeux et bien je rigoler bien elle est peut etre inutile pour vous mes moi quand je m ennui je suis contente d avoire se jeux,5
58,Jellify - Effets photo drôles,"3,9",c'est vraiment nul tu fait une photo en suite tu fait bouger ton téléphone portable et c'est tout je suis vraiment déçu et j'ai fini par le dèsinstaller je vous le déconseille,4
59,Jellify - Effets photo drôles,"3,9",De 1 la miniature est fake faite un effort serieux,1
60,Jellify - Effets photo drôles,"3,9",Trop bonne appli essayez avec vos amis vous allez vous tapez des barres 😂😂😂😂,2
61,Jellify - Effets photo drôles,"3,9",Arnaque...on peut pas modifier le visage...,4
62,Jellify - Effets photo drôles,"3,9",Je n aime pas trop car on peux pas sauvegarder les images on les voit 2 sec et c tout moi je l efface,1
63,Jellify - Effets photo drôles,"3,9",Cette appli est vraiment très cool je l'aime beaucoup ça fait rire mes copains et tous ça vraiment elle est cool je vous le dit.👍👍👍,1
64,Jellify - Effets photo drôles,"3,9",J'ai adoré tout ce qui m'a été proposée par l'appli,5
65,Jellify - Effets photo drôles,"3,9","Bjr, cette application et pas génial en faite quand on déforme le visage quand on",5
66,Jellify - Effets photo drôles,"3,9",c'est vrement debile en plus sa ne marche pas il on prend une photo et sa part 👎👎👎,2
67,Jellify - Effets photo drôles,"3,9","Trop marrant🤣🤣🤣🤣, je m'en lasse pas. Je vous conseilles cette appli !!!!",5
68,Jellify - Effets photo drôles,"3,9",Numporte quoi un truque pour les enfants,4
69,Jellify - Effets photo drôles,"3,9",il faue faire bougée a droite a gauche cest trop nul il faue pas telechargè c'aite appli,3
70,Jellify - Effets photo drôles,"3,9",ons ne peut pas prendre de nouvelle photo c'est du coup tros nul c'est pour sa que je ne vous mes pas 5 étoile,5
71,Jellify - Effets photo drôles,"3,9",Alors franchement garder votre application elle est grave nul et cette appli sert à quoi franchement vraiment sexy de vous. Je vous la déconseille.,4
72,Jellify - Effets photo drôles,"3,9",Moi j'aime bien ses rigolo de jouer à se jeux je mes 5 étoile,4
73,Jellify - Effets photo drôles,"3,9",j'aime trop et en plus c trop drole franchement je vous le conseille😊,2
74,Infinite Painter,"3,9","Bonne aplication il y a beaucoup de possibilité de crayon, le seul problème c'est que l'application bug un peu",3
75,Infinite Painter,"3,9","Je suis en rogne la maintenant. Je dessinais tranquillement, arrivé presqu'à la fin de mon dessin, l'application a eu un bug, plus rien ne marchait. Je suis sorti de l'application pour y retourner, et à ma surprise mon dessin n'était plus là, tout était effacé. Tout mon énergie était dans ce dessin. S'il vous plait si vous pouvez m'le rendre, faites le maintenant",1
76,Infinite Painter,"3,9","Excellente application, il faudrait peut-être un peu plus de brosses !",5
77,Infinite Painter,"3,9","Juste excellent, toute une panoplie d'outils à disposition, interface permettant meme aux moins initiés de s'y adapter facilement. C'est bien pensé.",4
78,Infinite Painter,"3,9",C'est une très bonne application pour mobile la création on n'a le droit de tout sans limite. Se qui est d'omage on n'a pas tout les outils qu'on veux il an à 7 outils qui faut rajouter. Télécharger c'est cool,3
79,Infinite Painter,"3,9",Super appli mais pourriez vous améliorer votre système de remplissage car celui là ne rempli pas tout l'intérieur d'une forme et si possible créer une autre appli ou une extension pour animer ?,5
80,Infinite Painter,"3,9",Trop bien en plus il y a pas de pud et pour ce qui n'ont pas de iPad bah c'est le top du top pour dessiner,5
81,Infinite Painter,"3,9",Assez simple d'utilisation. Ce logiciel est pour moi le moi le plus fonctionel de sa categorie.😃😃😃😃😃,5
82,Infinite Painter,"3,9",Tres bonne appli mais il n'y a pas tout les éléments nécessaires,3
83,Infinite Painter,"3,9",J adore mais il y a beaucoup trop de chose à payer il faudrait plus de chose gratuites,4
84,Infinite Painter,"3,9",Franchement pas déçu.une prise en main facile.faire des croquis en ville campagne sans difficulté.,5
85,Infinite Painter,"3,9","Application très géniale mérite plus que cinq étoiles , s'il y a une autre je la mettrai .. bravo à tous l'équipe ...",5
86,Infinite Painter,"3,9",Très bonne application peu chère et avec beaucoup coup d'option,5
87,Infinite Painter,"3,9",Depuis la derniere mise a jour je ne pu rien faire .... Quant je desire faire les forme automatique l'application beug et se coupe....je ne peut plus rien faire .... Je demande le remboursement,5
88,Infinite Painter,"3,9",Ca crains pourquoi on doit payer j'aime l'appli mais c7 nul de payer je ne voulais même pas mettre d'étoiles,1
89,Infinite Painter,"3,9",Au top ! Marche super bien avec ma Galaxy Tab s6 et son stylet. Aussi complet que photoshop ! ...ou presque. Il manque l'outil texte ! En tout cas je conseil pour tous les amateurs de digital painting 🎨,1
90,Infinite Painter,"3,9",Impossible d’utiliser les 7 jours gratuits...,5
91,Infinite Painter,"3,9",Très belle application dessin! Ça ressemble un peu a Procreate :),2
92,Infinite Painter,"3,9","Il était gratuit v'la peu et maintenant il coûte de l'argent. Je me demandais pourquoi. Beaucoup de gens en parlent disant qu'il est gratuit, mais ce n'est pas le cas pour moi. Est-ce un beug?",5
93,Infinite Painter,"3,9","Je trouve qu'il serait plus honnête de préciser dans la description de l'appli que c'est après une semaine de temps d'essai qu'une partie des outils devient payante, car c'est seulement APRÈS l'installation qu'on est averti. Il s'agit probablement d'une excellente appli mais il est dommage de ne pas fournir à l'utilisateur l'ensemble des informations dès le départ et personnellement ça me dérange.",3
94,Infinite Painter,"3,9",J aime bien cette appli je viens de l installer elle est plutôt bien il y a beaucoup de bruch ça ressemble à procreate j ai mis 4 étoile je vous la conseille elle pas mal,2
95,Infinite Painter,"3,9",Les anciennes versions de cette appli sont beaucoup plus fluides. J'ai une ancienne version que j'ai téléchargé depuis internet qui certes lui manques beaucoup de fonctionnalités mais est mille fois plus fluide !!! Pour info j'utilise cette appli pour dessiner et artflow pour colorer mes dessins qui est aussi plus fluide mais moins bonne que infinite painter. J'utilise une tab s6 LITE et ça rame même si justilise qu'une seule Layer aider moi svp !,4
96,Infinite Painter,"3,9",Super bien en plus on peut dessiner sur des photo de notre galerie . Plein de choix de pinceaux . Le truc c'est que il y a des option payante comme si ont veut faire de la bonne perspective . Sinon à conseiller 😉,4
97,Infinite Painter,"3,9","C'est vraiment bien,à utiliser avec un stylet ( ce que je n'ai pas..)même si on peut dessiner avec son doigt. Bonne application ,je vous le recommande !!",4
98,Infinite Painter,"3,9","J'adore vraiment cet outil pour dessiner une prise en main superbe et une qualité superbe elle vaut largement son coût mais il faudrait un mise a jour pour le texte, c'est dommage de ne pas pouvoir metre du texte sinon une super application je vous la recommande 🙂",4
99,Infinite Painter,"3,9","Beaucoup de fonctions que l’on ne trouve pas ailleurs. On peut dessiner au format A0 (150 DPI) sur tablette (seul sketchbook peut faire de même) Quelques plantages de temps en temps, mais il y a des sauvegardes automatiques. Bravo au développeur. Il reste a améliorer la précision des transformations/rotations avec des valeurs visibles, voir meme que l'on pourrait modifier au clavier (rotation de 2° ou reduction à 50% par exemple) et ce sera parfait pour moi.",5
100,Infinite Painter,"3,9","Application plutôt pas mal, cependant j'ai pu remarquer quelques soucis. -La recherche de palettes et de pinceau dans l'onglet \""communauté\"" n'est pas du tout pratique. -Lorsqu'on utilise l'outils \""doigt\"", certains pixels ont tendance a bouger et a faire des \""lignes\"" bizarre et non désirées -Quand on a trop de calques, l'application rame..Peut-être inclure une option de regroupement de ceux-ci dans un dossier ? -Application qui se ferme quand le fichier est trop lourd",5
101,Infinite Painter,"3,9",L'application est superbe au début on a l'accès a tout le outil c t vraiment la meilleure que j'ai essayé mais au bout de quelques jours on ne peut que utiliser les crayons car tout les autre outils ne sont plus disponibles et pour pouvoir les utiliser il faut payer ....je trouve sa vraiment domage🙁... Désoler 🤷,4
102,Infinite Painter,"3,9",Super et en plus gratuit,2
103,Infinite Painter,"3,9","Appli vraiment top mais depuis que j'ai du réinitialiser ma tablette on me redemande de payer alors que j'ai bien acheté la version complète et je suis bien connecté.. et impossible de joindre quelqu'un, aucun support pour aider à régler ce soucis....",4
104,Infinite Painter,"3,9","Juste génial je ne comprends pas la moyenne désolante de cette appli qui est beaucoup trop cool, en plus elle est gratuite ! Juste une pub au lancement de l'appli mais c'est tout... Je recommande ! \u003c3",2
105,Infinite Painter,"3,9","La meilleure appli de dessin / peinture sur Android selon moi. - Création de brushs très flexibles, - Possibilité de créer des raccourcis personnalisés, et de customiser l'interface, - Des commandes tactiles extrêmement pratiques, - L'importation d'images de référence... Etc. La classe. Attention : Certaines des fonctionnalités ne sont dispos gratuitement que pendant une période d'essai. Personnellement, je suis passé à la version payante et je ne regrette pas.",5
